Date,Kalshi Nov Rate,BBG NOV rate
2021/12/27,25,
2021/12/28,25,
2021/12/31,25,
2022/1/1,25,
2022/1/2,25,
2022/1/3,25,
2022/1/4,25,
2022/1/5,25,
2022/1/6,25,
2022/1/7,25,
2022/1/8,25,
2022/1/9,25,
2022/1/10,25,
2022/1/11,25,
2022/1/12,25,
2022/1/13,25,
2022/1/14,25,
2022/1/15,25,
2022/1/16,25,
2022/1/17,25,
2022/1/18,25,
2022/1/19,25,
2022/1/20,25,
2022/1/21,25,
2022/1/22,25,
2022/1/23,25,
2022/1/24,25,
2022/1/25,25,
2022/1/26,25,
2022/1/27,25,
2022/1/28,25,
2022/1/29,25,
2022/1/30,25,
2022/1/31,25,
2022/2/1,25,
2022/2/2,25,
2022/2/3,25,
2022/2/4,25,
2022/2/5,25,
2022/2/6,25,
2022/2/7,25,
2022/2/8,25,
2022/2/9,25,
2022/2/10,25,
2022/2/11,107.53,
2022/2/12,106.94,
2022/2/13,107.77,
2022/2/14,109.1,
2022/2/15,110.43,
2022/2/16,111.76,
2022/2/17,132.74,
2022/2/18,133.26,
2022/2/19,134.3,
2022/2/21,135.33,
2022/2/22,135.08,
2022/2/23,136.61,
2022/2/24,134.06,
2022/2/25,133.8,
2022/2/26,133.8,
2022/2/27,133.8,
2022/2/28,133.55,
2022/3/1,134.44,
2022/3/2,134.69,
2022/3/3,134.57,
2022/3/4,134.57,
2022/3/5,134.57,
2022/3/6,134.69,
2022/3/7,124.62,
2022/3/8,134.57,
2022/3/9,134.57,
2022/3/10,134.57,
2022/3/11,134.57,
2022/3/12,134.57,
2022/3/13,134.57,
2022/3/14,134.18,
2022/3/15,134.44,
2022/3/16,142.86,
2022/3/17,142.86,
2022/3/18,142.73,
2022/3/19,142.73,
2022/3/20,142.73,
2022/3/21,144.13,
2022/3/22,145.15,
2022/3/23,146.94,
2022/3/24,153.19,
2022/3/25,155.99,
2022/3/26,155.99,
2022/3/27,155.99,
2022/3/28,156.63,
2022/3/29,156.63,
2022/3/30,156.51,
2022/3/31,156.51,
2022/4/1,156.51,
2022/4/2,157.27,
2022/4/3,159.44,
2022/4/4,159.18,
2022/4/5,161.99,
2022/4/6,163.73,
2022/4/7,163.99,
2022/4/8,165.41,
2022/4/9,165.41,
2022/4/10,165.41,
2022/4/11,165.41,
2022/4/12,170.08,
2022/4/13,169.69,
2022/4/14,169.56,
2022/4/15,169.43,
2022/4/16,169.43,
2022/4/17,182.38,
2022/4/18,197.02,
2022/4/19,212.31,
2022/4/20,203.91,
2022/4/21,204.85,
2022/4/22,208.42,
2022/4/23,211.35,
2022/4/24,214.23,
2022/4/25,214.54,
2022/4/26,214.54,
2022/4/27,214.54,
2022/4/28,210.71,
2022/4/29,207.14,
2022/4/30,208.89,
2022/5/1,209.23,
2022/5/2,222.82,
2022/5/3,224.87,
2022/5/4,225.26,
2022/5/5,221.92,
2022/5/6,222.05,
2022/5/7,221.67,
2022/5/8,221.41,
2022/5/9,219.87,
2022/5/10,218.85,
2022/5/11,218.72,
2022/5/12,218.72,
2022/5/13,218.59,
2022/5/14,218.59,
2022/5/15,218.59,
2022/5/16,218.59,
2022/5/17,218.59,
2022/5/18,218.59,
2022/5/19,218.59,
2022/5/20,218.59,
2022/5/21,218.85,
2022/5/22,218.97,
2022/5/23,218.85,
2022/5/24,219.1,
2022/5/25,224.87,
2022/5/26,222.05,
2022/5/27,222.18,
2022/5/28,222.18,
2022/5/29,222.05,
2022/5/30,222.05,
2022/5/31,223.07,
2022/6/1,222.05,
2022/6/2,221.79,
2022/6/3,229.72,
2022/6/4,230.48,
2022/6/5,230.87,
2022/6/6,232.78,
2022/6/7,232.78,
2022/6/8,230.74,
2022/6/9,232.14,
2022/6/10,246.68,
2022/6/11,249.62,
2022/6/12,250,
2022/6/13,263.9,
2022/6/14,310.33,
2022/6/15,301.9,
2022/6/16,323.48,
2022/6/17,324.62,
2022/6/18,324.87,
2022/6/19,324.59,
2022/6/20,324.3,
2022/6/23,320.97,
2022/6/24,319.54,
2022/6/25,318.4,
2022/6/26,317.39,
2022/6/27,315.53,
2022/6/28,315.03,
2022/6/29,315.03,
2022/6/30,314.31,
2022/7/1,312.71,
2022/7/2,307.07,
2022/7/3,307.2,
2022/7/4,307.17,
2022/7/5,306.88,
2022/7/6,305.08,
2022/7/7,304.55,
2022/7/8,307.58,
2022/7/9,310.15,
2022/7/10,310.23,
2022/7/11,310.73,
2022/7/12,308.96,
2022/7/13,339.21,
2022/7/14,338.89,
2022/7/15,330.68,
2022/7/16,330.18,
2022/7/17,330.3,
2022/7/18,330.81,
2022/7/19,325,
2022/7/20,325.25,
2022/7/21,327.66,
2022/7/22,316.67,
2022/7/23,315.78,
2022/7/24,315.28,
2022/7/25,315.91,
2022/7/26,315.66,
2022/7/27,314.52,
2022/7/28,309.22,
2022/7/29,308.88,
2022/7/30,309.34,
2022/7/31,309.09,
2022/8/1,309.09,
2022/8/2,308.38,
2022/8/3,311.24,
2022/8/4,311.49,
2022/8/5,325.13,
2022/8/6,325.38,
2022/8/7,326.9,
2022/8/8,325,
2022/8/9,325,
2022/8/10,316.29,
2022/8/11,317.55,
2022/8/12,315.95,
2022/8/13,319.72,
2022/8/14,319.97,
2022/8/15,319.79,
2022/8/16,319.72,
2022/8/17,322.99,
2022/8/18,315.83,
2022/8/19,318.72,
2022/8/20,319.05,
2022/8/21,319.14,
2022/8/22,322.99,
2022/8/23,324.37,
2022/8/24,327.26,
2022/8/25,327.64,
2022/8/26,328.52,
2022/8/27,329.65,
2022/8/28,329.15,
2022/8/29,331.28,
2022/8/30,333.17,
2022/8/31,335.68,
2022/9/1,336.68,
2022/9/2,334.8,
2022/9/3,334.8,
2022/9/4,334.67,
2022/9/5,334.8,
2022/9/6,334.92,
2022/9/7,342.09,
2022/9/8,343.72,
2022/9/9,347.11,
2022/9/10,347.49,
2022/9/11,347.11,
2022/9/12,346.11,
2022/9/13,366.33,
2022/9/14,365.66,
2022/9/15,366.92,
2022/9/16,367.42,
2022/9/17,366.04,
2022/9/18,366.54,
2022/9/19,368.27,
2022/9/20,366.54,
2022/9/21,369.7,
2022/9/22,370.2,
2022/9/23,369.44,
2022/9/24,369.32,
2022/9/25,369.44,
2022/9/26,369.7,
2022/9/27,368.06,
2022/9/28,371.09,
2022/9/29,370.08,
2022/9/30,367.96,
2022/10/1,367.34,
2022/10/2,366.71,
2022/10/3,366.71,
